,yr,service,calltime,callsource,nature,secs_to_disp,secs_to_arrv,secs_to_close,priority,primeunit,month,response_time
1507,2014,LAW ,2014-01-05 13:12:56,PHONE,ASSIST,1575.0,2767.0,7700,5,CAHOT,1,19.866666666666667
1509,2014,LAW ,2014-01-05 13:14:34,PHONE,ASSIST,391.0,1327.0,1460,5,CAHOT,1,15.6
1524,2014,LAW ,2014-01-05 14:17:07,PHONE,TRANSPORT,4922.0,5617.0,6932,5,CAHOT,1,11.583333333333334
1538,2014,LAW ,2014-01-05 15:19:09,W911,WELFARE CHECK,238.0,816.0,1180,5,CAHOT,1,9.633333333333333
1543,2014,LAW ,2014-01-05 15:31:35,PHONE,SUICIDE RISK,322.0,696.0,2999,1,CAHOT,1,6.233333333333333
1544,2014,LAW ,2014-01-05 15:33:42,PHONE,TRANSPORT,2349.0,2577.0,3487,5,CAHOT,1,3.8
1556,2014,LAW ,2014-01-05 16:54:42,PHONE,TRANSPORT,526.0,1318.0,7335,5,CAHOT,1,13.2
1568,2014,LAW ,2014-01-05 17:55:51,PHONE,ASSIST,324.0,560.0,2147,5,CAHOT,1,3.933333333333333
1575,2014,LAW ,2014-01-05 18:54:40,W911,INTOXICATED PERSON,667.0,1131.0,1363,5,CAHOT,1,7.733333333333333
1579,2014,LAW ,2014-01-05 19:09:38,PHONE,TRANSPORT,608.0,801.0,2047,5,CAHOT,1,3.216666666666667
1585,2014,LAW ,2014-01-05 19:42:02,PHONE,TRANSPORT,106.0,106.0,1127,5,CAHOT,1,0.0
1587,2014,LAW ,2014-01-05 19:47:15,PHONE,ASSIST,1170.0,1518.0,1859,5,CAHOT,1,5.8
1598,2014,LAW ,2014-01-05 20:21:55,PHONE,TRANSPORT,129.0,852.0,2325,5,CAHOT,1,12.05
1600,2014,LAW ,2014-01-05 20:24:53,PHONE,ASSIST,126.0,1025.0,1940,5,CAHOT,1,14.983333333333333
1601,2014,LAW ,2014-01-05 20:25:46,PHONE,ASSIST,1897.0,2111.0,4227,5,CAHOT,1,3.566666666666667
1611,2014,LAW ,2014-01-05 21:13:21,PHONE,TRESPASSING,2465.0,2703.0,5130,3,CAHOT,1,3.966666666666667
1612,2014,LAW ,2014-01-05 21:18:22,PHONE,TRANSPORT,1194.0,1237.0,2153,5,CAHOT,1,0.7166666666666667
1616,2014,LAW ,2014-01-05 21:40:07,W911,SUICIDE RISK,394.0,1237.0,2915,3,CAHOT,1,14.05
1622,2014,LAW ,2014-01-05 22:10:38,PHONE,TRANSPORT,3135.0,3287.0,4059,5,CAHOT,1,2.533333333333333
1625,2014,LAW ,2014-01-05 22:23:10,PHONE,TRANSPORT,949.0,1657.0,2359,5,CAHOT,1,11.8
1630,2014,LAW ,2014-01-05 23:10:12,PHONE,TRANSPORT,514.0,861.0,1847,5,CAHOT,1,5.783333333333333
1634,2014,LAW ,2014-01-05 23:25:11,PHONE,TRANSPORT,7171.0,7636.0,8153,5,CAHOT,1,7.75
1643,2014,LAW ,2014-01-06 00:46:57,PHONE,INTOXICATED PERSON,3251.0,3623.0,4802,5,CAHOT,1,6.2
1712,2014,LAW ,2014-01-06 11:08:46,PHONE,ASSIST,216.0,925.0,1249,5,CAHOT,1,11.816666666666666
1717,2014,LAW ,2014-01-06 11:24:56,PHONE,TRANSPORT,973.0,1813.0,3737,5,CAHOT,1,14.0
1729,2014,LAW ,2014-01-06 12:17:41,E911,ASSIST,1844.0,2759.0,8694,5,CAHOT,1,15.25
1745,2014,LAW ,2014-01-06 13:08:01,PHONE,TRANSPORT,6625.0,7540.0,7909,5,CAHOT,1,15.25
1764,2014,LAW ,2014-01-06 14:19:42,PHONE,TRANSPORT,3615.0,4476.0,4612,5,CAHOT,1,14.35
1766,2014,LAW ,2014-01-06 14:28:59,PHONE,TRANSPORT,4100.0,4531.0,4788,5,CAHOT,1,7.183333333333334
1777,2014,LAW ,2014-01-06 15:17:43,PHONE,TRANSPORT,1259.0,2199.0,3345,5,CAHOT,1,15.666666666666666
1781,2014,LAW ,2014-01-06 15:26:47,PHONE,TRANSPORT,1339.0,2559.0,4912,5,CAHOT,1,20.333333333333332
1788,2014,LAW ,2014-01-06 16:02:21,PHONE,ASSIST,672.0,1219.0,3247,5,CAHOT,1,9.116666666666667
1800,2014,LAW ,2014-01-06 16:44:33,PHONE,SUICIDE RISK,111.0,1007.0,4954,1,CAHOT,1,14.933333333333334
1809,2014,LAW ,2014-01-06 17:01:40,PHONE,ASSIST,555.0,1159.0,1367,5,CAHOT,1,10.066666666666666
1810,2014,LAW ,2014-01-06 17:06:04,PHONE,WELFARE CHECK,1251.0,1550.0,2090,3,CAHOT,1,4.983333333333333
1814,2014,LAW ,2014-01-06 17:21:57,PHONE,TRANSPORT,2725.0,3453.0,3693,5,CAHOT,1,12.133333333333333
1817,2014,LAW ,2014-01-06 17:29:00,PHONE,ASSIST,3283.0,3839.0,6654,5,CAHOT,1,9.266666666666667
1824,2014,LAW ,2014-01-06 18:18:37,PHONE,ASSIST,1987.0,2532.0,3765,5,CAHOT,1,9.083333333333334
1829,2014,LAW ,2014-01-06 18:26:01,PHONE,WELFARE CHECK,701.0,4085.0,4700,5,CAHOT,1,56.4
1843,2014,LAW ,2014-01-06 19:22:53,PHONE,TRANSPORT,243.0,744.0,1370,5,CAHOT,1,8.35
1844,2014,LAW ,2014-01-06 19:30:35,PHONE,TRESPASSING,5269.0,5860.0,6187,3,CAHOT,1,9.85
1849,2014,LAW ,2014-01-06 19:42:43,PHONE,ASSIST,140.0,318.0,1724,5,CAHOT,1,2.966666666666667
1850,2014,LAW ,2014-01-06 19:50:00,PHONE,TRANSPORT,521.0,1275.0,2202,5,CAHOT,1,12.566666666666666
1853,2014,LAW ,2014-01-06 19:54:59,PHONE,TRANSPORT,1907.0,2241.0,2864,5,CAHOT,1,5.566666666666666
1858,2014,LAW ,2014-01-06 20:19:38,PHONE,WELFARE CHECK,1420.0,2045.0,2233,5,CAHOT,1,10.416666666666666
1865,2014,LAW ,2014-01-06 21:06:46,PHONE,TRANSPORT,147.0,1229.0,1767,5,CAHOT,1,18.033333333333335
1866,2014,LAW ,2014-01-06 21:11:18,PHONE,TRANSPORT,193.0,472.0,2116,5,CAHOT,1,4.65
1867,2014,LAW ,2014-01-06 21:14:11,PHONE,FOUND CONTRABAND,1324.0,1617.0,2194,5,CAHOT,1,4.883333333333334
1871,2014,LAW ,2014-01-06 21:37:33,PHONE,ASSIST,688.0,1045.0,2870,5,CAHOT,1,5.95
1874,2014,LAW ,2014-01-06 21:49:00,PHONE,TRANSPORT,113.0,297.0,1076,5,CAHOT,1,3.066666666666667
1882,2014,LAW ,2014-01-06 22:27:51,PHONE,TRANSPORT,105.0,573.0,1290,5,CAHOT,1,7.8
1883,2014,LAW ,2014-01-06 22:29:38,PHONE,TRANSPORT,1195.0,1711.0,2128,5,CAHOT,1,8.6
1885,2014,LAW ,2014-01-06 22:49:24,PHONE,TRANSPORT,945.0,945.0,1787,5,CAHOT,1,0.0
1886,2014,LAW ,2014-01-06 22:50:54,PHONE,TRANSPORT,1701.0,1701.0,2511,5,CAHOT,1,0.0
1919,2014,LAW ,2014-01-07 02:35:30,PHONE,TRANSPORT,74.0,369.0,1144,5,CAHOT,1,4.916666666666667
1976,2014,LAW ,2014-01-07 10:21:52,PHONE,ASSIST,2421.0,3374.0,7726,5,CAHOT,1,15.883333333333333
2020,2014,LAW ,2014-01-07 12:28:44,PHONE,TRANSPORT,230.0,768.0,1940,5,CAHOT,1,8.966666666666667
2033,2014,LAW ,2014-01-07 12:57:53,PHONE,WELFARE CHECK,262.0,2522.0,3877,5,CAHOT,1,37.666666666666664
2045,2014,LAW ,2014-01-07 13:32:42,PHONE,TRANSPORT,7571.0,8379.0,9457,5,CAHOT,1,13.466666666666667
2058,2014,LAW ,2014-01-07 14:05:29,PHONE,ASSIST,7532.0,8305.0,8559,5,CAHOT,1,12.883333333333333
2072,2014,LAW ,2014-01-07 15:01:10,PHONE,WELFARE CHECK,7006.0,7375.0,14225,5,CAHOT,1,6.15
2090,2014,LAW ,2014-01-07 15:53:30,PHONE,TRANSPORT,2082.0,3188.0,4014,5,CAHOT,1,18.433333333333334
2121,2014,LAW ,2014-01-07 17:47:01,PHONE,INTOXICATED PERSON,3788.0,4232.0,7078,5,CAHOT,1,7.4
2131,2014,LAW ,2014-01-07 18:16:37,PHONE,TRANSPORT,2516.0,2900.0,4318,5,CAHOT,1,6.4
2137,2014,LAW ,2014-01-07 18:55:18,PHONE,TRANSPORT,2017.0,2023.0,4682,5,CAHOT,1,0.1
2151,2014,LAW ,2014-01-07 19:51:13,E911,WELFARE CHECK,471.0,822.0,1180,5,CAHOT,1,5.85
2152,2014,LAW ,2014-01-07 19:59:29,E911,WELFARE CHECK,717.0,1631.0,6869,5,CAHOT,1,15.233333333333333
2161,2014,LAW ,2014-01-07 20:28:37,E911,INTOXICATED PERSON,527.0,1140.0,1343,5,CAHOT,1,10.216666666666667
2167,2014,LAW ,2014-01-07 22:01:52,PHONE,TRANSPORT,879.0,895.0,1746,5,CAHOT,1,0.26666666666666666
2178,2014,LAW ,2014-01-07 22:57:14,PHONE,SUICIDE RISK,76.0,1165.0,5004,1,CAHOT,1,18.15
2182,2014,LAW ,2014-01-07 23:34:33,W911,INTOXICATED PERSON,2789.0,3510.0,3979,5,CAHOT,1,12.016666666666667
2184,2014,LAW ,2014-01-07 23:35:34,PHONE,TRANSPORT,3924.0,4387.0,5027,5,CAHOT,1,7.716666666666667
2189,2014,LAW ,2014-01-07 23:49:21,PHONE,TRANSPORT,4220.0,4226.0,7297,5,CAHOT,1,0.1
2231,2014,LAW ,2014-01-08 10:24:52,PHONE,FOUND CONTRABAND,11807.0,12963.0,13145,5,CAHOT,1,19.266666666666666
2241,2014,LAW ,2014-01-08 11:15:01,PHONE,TRANSPORT,680.0,1022.0,3406,5,CAHOT,1,5.7
2249,2014,LAW ,2014-01-08 11:32:37,PHONE,TRANSPORT,4611.0,5484.0,7133,5,CAHOT,1,14.55
2250,2014,LAW ,2014-01-08 11:34:52,PHONE,ASSIST,2217.0,2761.0,3791,5,CAHOT,1,9.066666666666666
2270,2014,LAW ,2014-01-08 12:27:39,PHONE,ASSIST,3900.0,4284.0,4435,5,CAHOT,1,6.4
2292,2014,LAW ,2014-01-08 13:23:38,PHONE,SUSPICIOUS INCIDENT,2426.0,2729.0,2889,3,CAHOT,1,5.05
2315,2014,LAW ,2014-01-08 14:05:21,PHONE,TRANSPORT,400.0,1228.0,2755,5,CAHOT,1,13.8
2366,2014,LAW ,2014-01-08 17:17:43,PHONE,TRANSPORT,204.0,543.0,2402,5,CAHOT,1,5.65
2368,2014,LAW ,2014-01-08 17:27:47,PHONE,ASSIST,159.0,532.0,4087,5,CAHOT,1,6.216666666666667
2370,2014,LAW ,2014-01-08 17:32:50,PHONE,TRANSPORT,1639.0,2574.0,4940,5,CAHOT,1,15.583333333333334
2386,2014,LAW ,2014-01-08 18:38:28,PHONE,SUICIDE RISK,280.0,1051.0,2906,1,CAHOT,1,12.85
2394,2014,LAW ,2014-01-08 18:56:16,E911,ASSAULT,1110.0,1466.0,3445,4,CAHOT,1,5.933333333333334
2405,2014,LAW ,2014-01-08 19:32:28,PHONE,TRANSPORT,1309.0,1656.0,2632,5,CAHOT,1,5.783333333333333
2406,2014,LAW ,2014-01-08 19:40:10,PHONE,TRANSPORT,2135.0,3017.0,4232,5,CAHOT,1,14.7
2411,2014,LAW ,2014-01-08 19:48:58,PHONE,ASSIST,1668.0,2204.0,5217,5,CAHOT,1,8.933333333333334
2436,2014,LAW ,2014-01-08 21:47:11,PHONE,TRANSPORT,554.0,561.0,2029,5,CAHOT,1,0.11666666666666667
2454,2014,LAW ,2014-01-08 23:12:30,PHONE,WELFARE CHECK,388.0,512.0,2650,5,CAHOT,1,2.066666666666667
2460,2014,LAW ,2014-01-08 23:47:14,PHONE,TRANSPORT,2816.0,3497.0,4894,5,CAHOT,1,11.35
2528,2014,LAW ,2014-01-09 09:41:05,PHONE,WELFARE CHECK,5116.0,6348.0,11514,5,CAHOT,1,20.533333333333335
2565,2014,LAW ,2014-01-09 12:12:52,PHONE,TRANSPORT,2415.0,2809.0,4827,5,CAHOT,1,6.566666666666666
2601,2014,LAW ,2014-01-09 14:20:52,PHONE,TRANSPORT,112.0,820.0,1785,5,CAHOT,1,11.8
2623,2014,LAW ,2014-01-09 15:33:56,PHONE,SUICIDE RISK,87.0,1130.0,1767,1,CAHOT,1,17.383333333333333
2628,2014,LAW ,2014-01-09 15:43:42,PHONE,TRANSPORT,685.0,1589.0,4513,5,CAHOT,1,15.066666666666666
2638,2014,LAW ,2014-01-09 16:06:17,PHONE,TRANSPORT,205.0,624.0,2096,5,CAHOT,1,6.983333333333333
2639,2014,LAW ,2014-01-09 16:08:01,PHONE,ASSIST,2021.0,2702.0,5809,5,CAHOT,1,11.35
2658,2014,LAW ,2014-01-09 17:00:29,PHONE,WELFARE CHECK,1051.0,2033.0,5176,5,CAHOT,1,16.366666666666667
2659,2014,LAW ,2014-01-09 17:06:07,PHONE,TRANSPORT,3975.0,4908.0,6768,5,CAHOT,1,15.55
2660,2014,LAW ,2014-01-09 17:06:16,PHONE,ASSIST,4848.0,5587.0,7782,5,CAHOT,1,12.316666666666666
2666,2014,LAW ,2014-01-09 17:29:50,PHONE,WELFARE CHECK,1507.0,1625.0,2480,5,CAHOT,1,1.9666666666666666
2668,2014,LAW ,2014-01-09 17:31:14,PHONE,TRAFFIC ISSUE,829.0,1029.0,1412,3,CAHOT,1,3.3333333333333335
2681,2014,LAW ,2014-01-09 18:26:48,PHONE,WELFARE CHECK,4568.0,5427.0,6632,5,CAHOT,1,14.316666666666666
2703,2014,LAW ,2014-01-09 19:37:56,E911,WELFARE CHECK,6802.0,7494.0,7953,5,CAHOT,1,11.533333333333333
2711,2014,LAW ,2014-01-09 20:00:24,E911,TRAFFIC ISSUE,1073.0,1631.0,1785,3,CAHOT,1,9.3
2715,2014,LAW ,2014-01-09 20:16:04,W911,TRAFFIC ISSUE,858.0,1450.0,2751,3,CAHOT,1,9.866666666666667
2722,2014,LAW ,2014-01-09 20:36:41,PHONE,ASSIST,1538.0,2403.0,3410,5,CAHOT,1,14.416666666666666
2743,2014,LAW ,2014-01-09 21:59:25,PHONE,WELFARE CHECK,266.0,1450.0,1741,5,CAHOT,1,19.733333333333334
2792,2014,LAW ,2014-01-10 01:10:31,PHONE,TRANSPORT,174.0,1329.0,1616,5,CAHOT,1,19.25
2797,2014,LAW ,2014-01-10 01:31:38,PHONE,TRANSPORT,359.0,371.0,1945,5,CAHOT,1,0.2
2805,2014,LAW ,2014-01-10 02:12:57,PHONE,TRANSPORT,239.0,928.0,1177,11,CAHOT,1,11.483333333333333
2859,2014,LAW ,2014-01-10 09:47:12,PHONE,FOUND CONTRABAND,41946.0,43104.0,43755,5,CAHOT,1,19.3
2867,2014,LAW ,2014-01-10 10:08:51,PHONE,WELFARE CHECK,721.0,4225.0,6031,5,CAHOT,1,58.4
2873,2014,LAW ,2014-01-10 10:30:53,PHONE,TRANSPORT,9844.0,10589.0,11242,5,CAHOT,1,12.416666666666666
2881,2014,LAW ,2014-01-10 10:59:49,W911,WELFARE CHECK,10275.0,11325.0,12141,5,CAHOT,1,17.5
2905,2014,LAW ,2014-01-10 12:13:28,PHONE,ASSIST,24189.0,24210.0,24623,5,CAHOT,1,0.35
2924,2014,LAW ,2014-01-10 13:06:36,PHONE,FOUND CONTRABAND,30016.0,30465.0,31565,5,CAHOT,1,7.483333333333333
2945,2014,LAW ,2014-01-10 14:12:37,PHONE,TRANSPORT,619.0,1669.0,4735,5,CAHOT,1,17.5
2946,2014,LAW ,2014-01-10 14:17:03,E911,ASSIST,768.0,6308.0,7099,5,CAHOT,1,92.33333333333333
2966,2014,LAW ,2014-01-10 15:02:44,PHONE,WELFARE CHECK,4390.0,7298.0,9941,5,CAHOT,1,48.46666666666667
2968,2014,LAW ,2014-01-10 15:08:23,PHONE,SUBJECT DOWN,1401.0,1412.0,2539,1,CAHOT,1,0.18333333333333332
2985,2014,LAW ,2014-01-10 15:50:01,PHONE,TRANSPORT,11237.0,11340.0,11809,5,CAHOT,1,1.7166666666666666
3014,2014,LAW ,2014-01-10 17:11:37,PHONE,TRANSPORT,6975.0,7368.0,7644,5,CAHOT,1,6.55
3017,2014,LAW ,2014-01-10 17:21:08,PHONE,ASSIST,1735.0,2118.0,2620,5,CAHOT,1,6.383333333333334
3037,2014,LAW ,2014-01-10 18:11:34,PHONE,WELFARE CHECK,1594.0,2096.0,2637,5,CAHOT,1,8.366666666666667
3046,2014,LAW ,2014-01-10 18:41:01,PHONE,WELFARE CHECK,425.0,659.0,913,5,CAHOT,1,3.9
3058,2014,LAW ,2014-01-10 19:01:58,PHONE,TRANSPORT,404.0,1449.0,2726,5,CAHOT,1,17.416666666666668
3060,2014,LAW ,2014-01-10 19:15:34,PHONE,TRANSPORT,2836.0,3266.0,4661,5,CAHOT,1,7.166666666666667
3081,2014,LAW ,2014-01-10 20:10:48,PHONE,SUICIDE RISK,151.0,480.0,4549,1,CAHOT,1,5.483333333333333
3082,2014,LAW ,2014-01-10 20:11:24,PHONE,TRANSPORT,2390.0,3153.0,3486,5,CAHOT,1,12.716666666666667
3098,2014,LAW ,2014-01-10 21:28:24,PHONE,WELFARE CHECK,1459.0,1633.0,2218,5,CAHOT,1,2.9
3112,2014,LAW ,2014-01-10 22:36:51,PHONE,WELFARE CHECK,208.0,903.0,2233,5,CAHOT,1,11.583333333333334
3124,2014,LAW ,2014-01-10 22:54:38,PHONE,ASSIST,1168.0,1870.0,3570,5,CAHOT,1,11.7
3147,2014,LAW ,2014-01-11 00:22:42,PHONE,ASSIST,296.0,296.0,3190,5,CAHOT,1,0.0
3163,2014,LAW ,2014-01-11 01:12:34,PHONE,TRANSPORT,207.0,526.0,3087,5,CAHOT,1,5.316666666666666
3228,2014,LAW ,2014-01-11 11:05:59,PHONE,TRANSPORT,82.0,87.0,1729,5,CAHOT,1,0.08333333333333333
